#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1535224862156861549, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.853907877918912428e-02, -9.974218723034055101e-01, 0.000000000000000000e+00, 4.150644415573407492e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1535224862222423000, 2.981764626400336429e-05, 4.139709174706095106e-06, 1.272084748994646076e-04, -5.852023800755768584e-02, -9.974217826957681998e-01, 3.214895683249667838e-04, 4.153391134954776548e-02, 3.930387166584041838e-04, 1.361800648864180843e-05, 3.086273669201012801e-03, 2.255170871515323043e-04, -4.794701526194201962e-05, 3.314092220148249300e-06, 8.762768374900091124e-08, 3.269727179912287970e-08, 1.634899625910832393e-07
1535224862288765899, 3.466102195666704720e-05, -2.066143521209403878e-05, -8.854483219631256448e-05, -5.854239785069514923e-02, -9.974160143852061067e-01, 4.023366150571347174e-04, 4.164036535706345382e-02, 1.092031996734522562e-04, 4.063389726922044085e-04, 1.705822290000819216e-03, 1.407165131278981978e-03, -1.325265093628201496e-04, 6.776941053412067659e-05, 3.658043885971318319e-06, -6.736882225696712163e-07, -7.213198921769049622e-06
1535224862354327350, -5.096466245662089917e-05, -9.390319670091962982e-05, -8.574699906355387957e-05, -5.860705966738858491e-02, -9.973997137437763394e-01, 7.488537298807911762e-04, 4.193402912990423781e-02, -5.038352259200253123e-04, -2.717380804708697606e-04, 2.164933745782878990e-03, 1.162817920082985729e-03, -1.859366818841784517e-04, 2.342108421276924314e-05, 1.690431551234838087e-05, 9.672534153334704481e-07, -7.371486739815854436e-06
1535224862420670349, -5.622589038049385332e-05, -1.795026713337325049e-04, 6.791161446121867624e-05, -5.871360366581493406e-02, -9.973962613921054654e-01, 8.146500750258808951e-04, 4.186581960119315632e-02, -3.731897678878083873e-05, -1.921819694569443368e-04, 4.058811076680080530e-03, 1.162817585794678624e-03, -1.859365019375470713e-04, 2.342070689400331686e-05, 1.694521236916188606e-05, 1.082824115476133686e-06, -7.446744199941115572e-06
1535224862485973950, -1.367963232323819776e-04, -6.714185083904937194e-06, -3.363763873074144856e-04, -5.856195332615560245e-02, -9.973977406782644772e-01, 1.744875744509892437e-04, 4.205013753372430912e-02, 6.412686910293850405e-04, 8.719405300769122449e-04, 2.906038011758779824e-03, 7.694941158402845375e-04, -2.372577798771063299e-04, -8.002361701510619279e-05, 3.146874976788757217e-04, -5.424299924451471137e-06, -3.347920644295037784e-03
1535224862552574700, -6.780968714647744150e-05, 6.587828170395487650e-05, -1.617583886962581689e-04, -5.854198170870866802e-02, -9.973969094292739479e-01, -1.928051732398937995e-05, 4.209799361978788096e-02, 1.890545455493310807e-03, 8.344294896947921248e-04, 5.703620828240540779e-03, 7.489237380070441199e-04, -2.400061875564560624e-04, -8.822562712337315917e-05, 2.979626887598872090e-04, -2.663265944731695544e-07, -3.144816611264491212e-03
1535224862617877899, 2.014564893347268494e-03, 2.047918988130883132e-04, 2.013539978704767411e-04, -5.860029485510681591e-02, -9.974377576529577238e-01, -1.119872478399887698e-05, 4.103565432307366284e-02, -2.341255385196084758e-05, -2.151189485574490738e-03, 5.590577162075414074e-03, 6.372179176962794629e-04, -2.957584477145925824e-04, -1.343752304943474042e-04, 1.923081976618311599e-04, 3.734680489770064607e-05, -2.096271622470665969e-03
1535224862684478650, -2.595134585049955339e-04, 8.945756479115547495e-05, -2.682950100346220509e-04, -5.853794998472704181e-02, -9.974474157522447149e-01, -3.788540531200310806e-04, 4.088786727576649432e-02, -5.050324621397411090e-03, -6.728919968299724129e-04, 1.691297288110687460e-03, 3.757053490227440238e-04, -3.996215040165710069e-04, -2.015548331616823338e-04, 2.420981626378002852e-03, -1.401610417573552795e-04, -2.907384239240726198e-02
1535224862749782350, 1.473910686236283877e-03, -1.063450603647856383e-03, 7.044496760087507175e-04, -5.856094505858898402e-02, -9.974164702334114008e-01, 2.163734711934247289e-04, 4.160473294576447212e-02, 3.525032880359792002e-03, 1.419339115991204744e-04, 4.932622246158439340e-03, 3.790512443513753289e-04, -4.054370513483593493e-04, -1.807369105476770244e-04, 2.231693188350879903e-03, -2.711274035787571320e-04, -2.726991429324780725e-02
