#timestamp tx ty tz qx qy qz qw
1535224862.222423000 -0.439076242 0.003256006 0.065390655 0.646739241 0.542149583 -0.344805871 -0.410987950
1535224862.288765899 -0.438502417 0.003221890 0.065594371 0.646533197 0.542087452 -0.345180701 -0.411079436
1535224862.354327350 -0.436736635 0.003169400 0.064614805 0.646297966 0.542164656 -0.345017075 -0.411484682
1535224862.420670349 -0.437214908 0.003307054 0.063459471 0.647069383 0.542630372 -0.344128959 -0.410400721
1535224862.815343750 -0.438921010 0.003136820 0.065538656 0.646576095 0.542255701 -0.344838550 -0.411077222
1535224863.573732099 -0.439940601 0.004030643 0.065128216 0.646476008 0.542231502 -0.344958246 -0.411166120
1535224864.495508599 -0.441961930 0.004504900 0.065713882 0.646675957 0.542215404 -0.344917759 -0.410906805
1535224865.484142649 -0.439732402 0.003419042 0.065373218 0.646585098 0.542202069 -0.344971257 -0.411022457
1535224866.636947699 -0.439308550 0.003256829 0.065080387 0.646124416 0.542504656 -0.344703588 -0.411571833
1535224867.558979899 -0.439330924 0.003258889 0.065255164 0.646617018 0.542124318 -0.345126046 -0.410944848
1535224868.580140449 -0.439324882 0.003289362 0.065530791 0.646501863 0.542824961 -0.344116903 -0.411047394
1535224869.502172849 -0.438950872 0.003307262 0.065496282 0.646525423 0.542253651 -0.344915345 -0.411095196
1535224870.260561400 -0.439131083 0.003239584 0.065708147 0.646655490 0.542022183 -0.345171395 -0.410980946
1535224871.247898499 -0.438900325 0.003150416 0.065215706 0.646028666 0.542985723 -0.344110437 -0.411584104
1535224872.203752999 -0.438741996 0.003189876 0.065176396 0.645838276 0.542892599 -0.344461769 -0.411711837
1535224872.993882949 -0.439799637 0.002246549 0.066503407 0.639681295 0.549495032 -0.336027996 -0.419461842
1535224873.257433049 -0.437778101 0.013330371 0.072670317 0.623813905 0.564093054 -0.290451378 -0.456391538
1535224873.718449599 -0.432195066 0.054109291 0.126092139 -0.606686025 -0.559763180 0.244765946 0.508612702
1535224873.900434950 -0.429916157 0.074378988 0.155896272 -0.606154859 -0.555142709 0.250477896 0.511520951
1535224876.651058550 -0.409953092 0.574709566 0.468358849 -0.733100325 -0.362857839 0.211747620 0.534846752
1535224877.012953350 -0.405268093 0.644737951 0.490758387 -0.737465283 -0.340568407 0.200790802 0.547577547
