#timestamp tx ty tz qx qy qz qw
1494876479.880990199 0.000952476 0.136824131 0.196259552 -0.615747671 0.065744056 0.106769488 0.777902822
1494876479.960420200 0.000769222 0.135746810 0.196382478 -0.614988742 0.065357746 0.106623934 0.778555425
1494876480.039850200 0.012706128 0.115772487 0.204744939 -0.583066264 0.084948742 0.128965770 0.797612233
1494876480.121301999 0.010803698 0.112522400 0.204117983 -0.584360048 0.081945890 0.130210390 0.796776920
1494876480.200750950 0.012166285 0.104757470 0.203706918 -0.583375355 0.080391155 0.133466904 0.797117961
1494876480.677267699 0.004319602 0.081592596 0.206726514 -0.593171747 0.065357438 0.132370498 0.791425129
1494876481.632243600 -0.029548873 0.043593613 0.228422746 -0.603398546 0.052591780 0.135369878 0.784104135
1494876482.905132149 0.009909958 0.039192415 0.180459328 -0.627027045 0.010910139 0.122952282 0.769155895
1494876484.018974749 0.037433867 0.002172984 0.224526128 -0.606298378 0.093755718 0.132249969 0.778538430
1494876485.132137999 0.058729593 -0.005602074 0.208220284 -0.615960392 0.021641456 0.097430944 0.781429238
1494876486.167839400 0.028911137 -0.043139587 0.234349055 -0.624071384 -0.001671577 0.019573170 0.781120352
1494876486.726454349 0.016520841 -0.079986028 0.260527092 -0.605591382 -0.047883201 0.017065726 0.794150513
1494876487.840631299 0.043946019 -0.069192426 0.292664919 -0.653389920 -0.032756127 -0.009062377 0.756258238
1494876488.634547949 0.074383040 -0.024912252 0.342688028 -0.638627759 -0.017802375 -0.027422971 0.768820943
1494876489.430465050 0.097605753 0.062126856 0.347112026 -0.634817666 -0.000337590 -0.035646742 0.771839184
1494876490.465051949 0.085210448 -0.003739038 0.320673680 -0.643107669 -0.003398801 -0.052915761 0.763937757
1494876491.180571849 0.065690109 -0.019949434 0.300750415 -0.667950994 -0.014057349 -0.046168099 0.742638787
1494876492.057212549 0.042246217 -0.022838572 0.297143678 -0.685419992 -0.055448406 0.007725437 0.725992580
1494876492.534205249 0.046595093 -0.016027377 0.315472128 -0.687547232 -0.052238731 0.004516158 0.724244105
1494876493.013227349 0.073736418 0.026127288 0.338566795 -0.686405523 0.029205588 -0.056072371 0.724465583
1494876493.808408849 0.075672199 0.030882059 0.395085025 -0.688888253 0.022597742 -0.054005885 0.722499606
1494876494.605618499 0.086387721 0.055412685 0.500224228 -0.683412240 0.008800576 -0.051488976 0.728161483
1494876496.119083200 0.092648391 0.035795194 0.599379757 -0.694150370 0.022642008 -0.036200251 0.718562555
1494876496.678401099 0.086649272 0.023464198 0.614683662 -0.698138101 0.017791901 -0.039284584 0.714663110
1494876497.872404549 0.005984346 -0.010092638 0.560201200 -0.727485354 -0.047289313 0.010433105 0.684412107
1494876498.033579049 -0.014906688 -0.013558267 0.554092484 -0.730753605 -0.043596081 0.024560270 0.680804923
1494876498.829368799 -0.114894752 -0.048918980 0.512506548 -0.700693973 -0.099464665 0.065553032 0.703446897
1494876499.147738150 -0.150034781 -0.071543530 0.496340567 -0.685411409 -0.117514198 0.091102492 0.712812703
1494876499.308936099 -0.163161104 -0.087493121 0.483232834 -0.682872818 -0.139298153 0.102260054 0.709805340
1494876499.706767599 -0.188324895 -0.121595788 0.452994488 -0.692020821 -0.170411703 0.115365957 0.691923211
1494876500.184186700 -0.217930848 -0.146637392 0.437684161 -0.679509255 -0.195000805 0.147410712 0.691745575
1494876500.343338499 -0.230418737 -0.149892977 0.433545167 -0.676475373 -0.202520682 0.157479221 0.690338133
1494876500.504532200 -0.240562122 -0.150905350 0.429845757 -0.674845314 -0.211089848 0.166740737 0.687184403
1494876500.663646899 -0.250723113 -0.151233930 0.430502730 -0.669418669 -0.218845117 0.175130687 0.687978708
1494876500.981881050 -0.272402413 -0.155149934 0.436692790 -0.661585413 -0.232747507 0.193647216 0.686027766
1494876501.061428699 -0.277809037 -0.155973592 0.440051117 -0.657991967 -0.234697197 0.199144869 0.687244584
1494876501.379589150 -0.304216426 -0.154717685 0.451495457 -0.652281418 -0.242523244 0.216978050 0.684566982
1494876501.618203950 -0.325170733 -0.148172172 0.457976846 -0.649913571 -0.244671458 0.227000161 0.682802427
1494876501.697778999 -0.333472726 -0.145184121 0.459602071 -0.648584071 -0.247922430 0.229476443 0.682065784
1494876501.858867250 -0.346693297 -0.144539387 0.463422570 -0.644379588 -0.255341093 0.237159621 0.680684351
1494876501.938427049 -0.351460285 -0.144407168 0.464826780 -0.642788139 -0.257693652 0.240299072 0.680201254
1494876502.336127849 -0.380781104 -0.139640158 0.471439445 -0.636247187 -0.262500175 0.254185795 0.679465053
1494876502.415681300 -0.387910021 -0.134666378 0.470966768 -0.635008844 -0.264186781 0.254695667 0.679778810
1494876502.654310499 -0.404650464 -0.124831292 0.468104077 -0.633326762 -0.267924119 0.260520741 0.677674570
1494876502.813448600 -0.414176297 -0.116292998 0.464259996 -0.634622423 -0.268221711 0.265701123 0.674325150
1494876502.893006549 -0.419754097 -0.110106999 0.462752130 -0.635452763 -0.268074530 0.266471064 0.673297115
1494876503.054156100 -0.431053809 -0.101063644 0.457421326 -0.635347113 -0.271086014 0.267593656 0.671744039
1494876503.531510299 -0.459851756 -0.089705250 0.442584857 -0.633419948 -0.284498075 0.274664777 0.665131021
1494876503.611015599 -0.466621495 -0.084304485 0.441954999 -0.633731534 -0.285314655 0.275975944 0.663940636
1494876503.770086900 -0.478797726 -0.077705202 0.438764947 -0.634413802 -0.287799635 0.277707481 0.661490025
1494876503.849601200 -0.484545847 -0.075112690 0.436696175 -0.632920238 -0.290896213 0.278436578 0.661259735
1494876503.929102349 -0.489314008 -0.073870283 0.435178581 -0.630571164 -0.294531059 0.279805590 0.661317090
1494876504.008616849 -0.494413690 -0.070366157 0.433653165 -0.628744007 -0.297093285 0.282100938 0.660935409
1494876504.088156149 -0.498511214 -0.068975690 0.432435529 -0.627921221 -0.297838623 0.283893953 0.660614349
1494876504.167710049 -0.502763255 -0.065910032 0.432468086 -0.627916472 -0.297551336 0.284407574 0.660527395
